date,Governorate,District,Village Name/ /ozla,Type,Facility name,Phase,Status,Comments (if any),Installed/planned capacity (kW),Male Beneficiaries (approx.),Female Beneficiaries (approx.),Total Beneficiaries (approx.),Coordinate
2025-07-15,Hadramawt,Ghayl Bin Yamin,Al Maqd,School,Aisha Complex for Girls,Roll-Out-1,Energized,Lot-1,6.6,0.0,649.0,649,"15.546326,49.347984"
2025-07-15,Hadramawt,Dawan,Saif,School,Omar bin Abdulaziz School,Roll-Out-1,Energized,Lot-1,6.6,200.0,226.0,426,"15.32405,48.320344"
2025-07-15,Hadramawt,Ghayl Bawazir,Al-Ghail bawazeer,School,Girl School Ghail Bawazeer,Roll-Out-1,Energized,Lot-1,17.6,0.0,800.0,800,"14.765667,49.372728"
2025-07-15,Hadramawt,Ar Raydah wa Qussayar,Hay Alshaheed,School,Girl School in Qusayaar,Roll-Out-1,Energized,Lot-1,8.8,0.0,368.0,368,"14.942097,50.341980"
2025-07-15,Hadramawt,Ar Raydah wa Qussayar,Al Rayadah,Clinic,Al Rayadah hospital,Roll-Out-1,Energized,Lot-1,22.0,7320.0,7656.0,14976,"15.037327,50.478479"
2025-07-15,Hadramawt,Ar Raydah wa Qussayar,Qusayar,Clinic,Qusayar Health Center,Roll-Out-1,Energized,Lot-1,22.0,4240.0,4400.0,8640,"14.939981,50.337068"
2025-07-15,Hadramawt,Tarim,Ar Rawdah,School,Aydeed School,Roll-Out-1,Energized,Lot-1,13.2,0.0,403.0,403,"16.049705,48.975952"
2025-07-15,Hadramawt,Al Qatn,Al saha,School,Al-Sayidah Khadijah School,Roll-Out-1,Energized,Lot-1,8.8,0.0,520.0,520,"15.842460,48.481705"
2025-07-15,Hadramawt,Shibam,Laherah,School,Bohayrat Al-Sham School,Roll-Out-1,Energized,Lot-1,6.6,0.0,318.0,318,"15.955961,48.677001"
2025-07-15,Hadramawt,Amd,khanfar,School,Um-Al-Mo'amineen School,Roll-Out-1,Energized,Lot-1,6.6,0.0,150.0,150,"15.420230,48.056131"
2025-07-15,Hadramawt,Rakhyah,Sina'a,Clinic,Sina'a Health Center,Roll-Out-1,Energized,Lot-1,22.0,4500.0,5496.0,9996,"15.405247,47.764976"
2025-07-15,Hadramawt,Amd,Habb,Clinic,Amd Health Center,Roll-Out-1,Energized,Lot-1,8.8,1089.0,1500.0,2589,"15.317560,47.990719"
2025-07-15,Hadramawt,As Sawm,Alsafiah,Clinic,Al-Som Hospital,Roll-Out-1,Energized,Lot-1,22.0,2282.0,2500.0,4782,"16.1422373,49.291223"
2025-07-15,Shabwah,Jardan,Ayath,School,Ayath School,Roll-Out-1,Energized,Lot-1,6.6,200.0,260.0,460,"14.996590,46.854483"
2025-07-15,Shabwah,Habban,Habban,School,Al-Thawra School - Habban,Roll-Out-1,Energized,Lot-1,6.6,0.0,570.0,570,"14.349974,47.078423"
