governorate,bank,date,gender,sale_type,count
Abyan,AMB,2025-05-15,female,cash_sales,0.0
Abyan,AMB,2025-05-15,female,credit_sales,0.0
Abyan,AMB,2025-05-15,female,first_borrowers_only,0.0
Abyan,AMB,2025-05-15,male,cash_sales,0.0
Abyan,AMB,2025-05-15,male,credit_sales,0.0
Abyan,AMB,2025-05-15,male,first_borrowers_only,0.0
Abyan,AMP,2025-05-15,female,cash_sales,31.0
Abyan,AMP,2025-05-15,female,credit_sales,134.0
Abyan,AMP,2025-05-15,female,first_borrowers_only,101.0
Abyan,AMP,2025-05-15,male,cash_sales,135.0
Abyan,AMP,2025-05-15,male,credit_sales,240.0
Abyan,AMP,2025-05-15,male,first_borrowers_only,222.0
Abyan,Azal,2025-05-15,female,cash_sales,0.0
Abyan,Azal,2025-05-15,female,credit_sales,0.0
Abyan,Azal,2025-05-15,female,first_borrowers_only,0.0
Abyan,Azal,2025-05-15,male,cash_sales,0.0
Abyan,Azal,2025-05-15,male,credit_sales,0.0
Abyan,Azal,2025-05-15,male,first_borrowers_only,0.0
Abyan,KIMB,2025-05-15,female,cash_sales,68.0
Abyan,KIMB,2025-05-15,female,credit_sales,0.0
Abyan,KIMB,2025-05-15,female,first_borrowers_only,
Abyan,KIMB,2025-05-15,male,cash_sales,1403.0
Abyan,KIMB,2025-05-15,male,credit_sales,0.0
Abyan,KIMB,2025-05-15,male,first_borrowers_only,
Abyan,NMF,2025-05-15,female,cash_sales,237.0
Abyan,NMF,2025-05-15,female,credit_sales,0.0
Abyan,NMF,2025-05-15,female,first_borrowers_only,0.0
Abyan,NMF,2025-05-15,male,cash_sales,30.0
Abyan,NMF,2025-05-15,male,credit_sales,0.0
Abyan,NMF,2025-05-15,male,first_borrowers_only,0.0
Abyan,TIIB,2025-05-15,female,cash_sales,0.0
Abyan,TIIB,2025-05-15,female,credit_sales,0.0
Abyan,TIIB,2025-05-15,female,first_borrowers_only,0.0
Abyan,TIIB,2025-05-15,male,cash_sales,0.0
Abyan,TIIB,2025-05-15,male,credit_sales,0.0
Abyan,TIIB,2025-05-15,male,first_borrowers_only,0.0
Abyan,YKB,2025-05-15,female,cash_sales,0.0
Abyan,YKB,2025-05-15,female,credit_sales,0.0
Abyan,YKB,2025-05-15,female,first_borrowers_only,0.0
Abyan,YKB,2025-05-15,male,cash_sales,1.0
Abyan,YKB,2025-05-15,male,credit_sales,0.0
Abyan,YKB,2025-05-15,male,first_borrowers_only,0.0
Aden,AMB,2025-05-15,female,cash_sales,0.0
Aden,AMB,2025-05-15,female,credit_sales,0.0
Aden,AMB,2025-05-15,female,first_borrowers_only,0.0
Aden,AMB,2025-05-15,male,cash_sales,0.0
Aden,AMB,2025-05-15,male,credit_sales,0.0
Aden,AMB,2025-05-15,male,first_borrowers_only,0.0
Aden,AMP,2025-05-15,female,cash_sales,14.0
Aden,AMP,2025-05-15,female,credit_sales,58.0
Aden,AMP,2025-05-15,female,first_borrowers_only,50.0
Aden,AMP,2025-05-15,male,cash_sales,35.0
Aden,AMP,2025-05-15,male,credit_sales,103.0
Aden,AMP,2025-05-15,male,first_borrowers_only,101.0
Aden,Azal,2025-05-15,female,cash_sales,0.0
Aden,Azal,2025-05-15,female,credit_sales,0.0
Aden,Azal,2025-05-15,female,first_borrowers_only,0.0
Aden,Azal,2025-05-15,male,cash_sales,0.0
Aden,Azal,2025-05-15,male,credit_sales,0.0
Aden,Azal,2025-05-15,male,first_borrowers_only,0.0
Aden,KIMB,2025-05-15,female,cash_sales,0.0
Aden,KIMB,2025-05-15,female,credit_sales,
Aden,KIMB,2025-05-15,female,first_borrowers_only,
Aden,KIMB,2025-05-15,male,cash_sales,2.0
Aden,KIMB,2025-05-15,male,credit_sales,0.0
Aden,KIMB,2025-05-15,male,first_borrowers_only,0.0
Aden,NMF,2025-05-15,female,cash_sales,86.0
Aden,NMF,2025-05-15,female,credit_sales,0.0
Aden,NMF,2025-05-15,female,first_borrowers_only,0.0
Aden,NMF,2025-05-15,male,cash_sales,98.0
Aden,NMF,2025-05-15,male,credit_sales,0.0
Aden,NMF,2025-05-15,male,first_borrowers_only,0.0
Aden,TIIB,2025-05-15,female,cash_sales,0.0
Aden,TIIB,2025-05-15,female,credit_sales,0.0
Aden,TIIB,2025-05-15,female,first_borrowers_only,0.0
Aden,TIIB,2025-05-15,male,cash_sales,0.0
Aden,TIIB,2025-05-15,male,credit_sales,0.0
Aden,TIIB,2025-05-15,male,first_borrowers_only,0.0
Aden,YKB,2025-05-15,female,cash_sales,0.0
Aden,YKB,2025-05-15,female,credit_sales,0.0
Aden,YKB,2025-05-15,female,first_borrowers_only,0.0
Aden,YKB,2025-05-15,male,cash_sales,0.0
Aden,YKB,2025-05-15,male,credit_sales,0.0
Aden,YKB,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,AMB,2025-05-15,female,cash_sales,0.0
Al Bayda,AMB,2025-05-15,female,credit_sales,0.0
Al Bayda,AMB,2025-05-15,female,first_borrowers_only,0.0
Al Bayda,AMB,2025-05-15,male,cash_sales,0.0
Al Bayda,AMB,2025-05-15,male,credit_sales,0.0
Al Bayda,AMB,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,AMP,2025-05-15,female,cash_sales,0.0
Al Bayda,AMP,2025-05-15,female,credit_sales,0.0
Al Bayda,AMP,2025-05-15,female,first_borrowers_only,0.0
Al Bayda,AMP,2025-05-15,male,cash_sales,0.0
Al Bayda,AMP,2025-05-15,male,credit_sales,0.0
Al Bayda,AMP,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,Azal,2025-05-15,female,cash_sales,0.0
Al Bayda,Azal,2025-05-15,female,credit_sales,0.0
Al Bayda,Azal,2025-05-15,female,first_borrowers_only,0.0
Al Bayda,Azal,2025-05-15,male,cash_sales,0.0
Al Bayda,Azal,2025-05-15,male,credit_sales,0.0
Al Bayda,Azal,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,KIMB,2025-05-15,female,cash_sales,0.0
Al Bayda,KIMB,2025-05-15,female,credit_sales,
Al Bayda,KIMB,2025-05-15,female,first_borrowers_only,
Al Bayda,KIMB,2025-05-15,male,cash_sales,0.0
Al Bayda,KIMB,2025-05-15,male,credit_sales,0.0
Al Bayda,KIMB,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,NMF,2025-05-15,female,cash_sales,3.0
Al Bayda,NMF,2025-05-15,female,credit_sales,0.0
Al Bayda,NMF,2025-05-15,female,first_borrowers_only,0.0
Al Bayda,NMF,2025-05-15,male,cash_sales,6.0
Al Bayda,NMF,2025-05-15,male,credit_sales,0.0
Al Bayda,NMF,2025-05-15,male,first_borrowers_only,0.0
Al Bayda,TIIB,2025-05-15,female,cash_sales,0.0
Al Bayda,TIIB,2025-05-15,female,credit_sales,0.0
Al Bayda,TIIB,2025-05-15,female,first_borrowers_only,0.0
Al Bayda,TIIB,2025-05-15,male,cash_sales,0.0
